,Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Month,New_Status
12,339282,Comcast Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,2015-06-13,13-Jun-15,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes,June,Open
13,360178,Internet speed,2015-06-23,23-Jun-15,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No,June,Closed
14,376268,Internet Disconnects Every Night,2015-06-30,30-Jun-15,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No,June,Closed
15,370137,Internet complaint,2015-06-27,27-Jun-15,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No,June,Open
16,363695,Internet Availability and Speed,2015-06-24,24-Jun-15,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No,June,Closed
17,238694,Comcast owes me $65 and claims I need to return equipment I never had,2015-04-16,16-Apr-15,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No,April,Closed
18,230876,Horrible Internet Service,2015-04-11,04-Nov-15,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No,April,Closed
19,318725,Failure to provide services that I am billed for.,2015-06-02,06-Feb-15,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No,June,Closed
20,327657,Internet out all the time but they have a monopoly,2015-06-07,06-Jul-15,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No,June,Closed
21,328742,horrible cable service and customer service,2015-06-08,06-Aug-15,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No,June,Closed
22,328165,Speed,2015-06-08,06-Aug-15,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No,June,Closed
23,370538,Comcast monopoly bundling practices,2015-06-27,27-Jun-15,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No,June,Open
24,370363,COMCAST!,2015-06-27,27-Jun-15,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No,June,Closed
25,270163,bait and switch,2015-05-02,05-Feb-15,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes,May,Open
26,355976,Comcast Customer Service,2015-06-22,22-Jun-15,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No,June,Open
27,260651,Apartment Management's Exclusivity Contract with Comcast,2015-04-28,28-Apr-15,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No,April,Closed
28,305340,Unable to reach a Comcast agent for internet and billing issues.,2015-05-24,24-May-15,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,Solved,No,May,Closed
29,360759,Wifi internet not working as well,2015-06-24,24-Jun-15,2:23:23 AM,Internet,Aloha,Oregon,97006,Pending,No,June,Open
30,265487,Comcast data caps,2015-04-29,29-Apr-15,9:40:19 PM,Internet,Alpharetta,Georgia,30022,Closed,No,April,Closed
31,296608,Comcast Internet Data Cap,2015-05-19,19-May-15,10:56:20 AM,Internet,Alpharetta,Georgia,30022,Solved,No,May,Closed
32,310990,XFINITY Movers Edge program,2015-05-28,28-May-15,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,Solved,No,May,Closed
33,325342,Comcast Data Internet Usage,2015-06-05,06-May-15,1:25:58 PM,Internet,Alpharetta,Georgia,30022,Solved,No,June,Closed
34,337489,Comcast not refunding my credit,2015-06-12,06-Dec-15,3:59:57 PM,Internet,Alpharetta,Georgia,30005,Solved,No,June,Closed
35,354116,Comcast,2015-06-20,20-Jun-15,5:03:09 PM,Internet,Alpharetta,Georgia,30022,Solved,No,June,Closed
36,371829,No Service,2015-06-29,29-Jun-15,11:23:38 AM,Internet,Alpharetta,Georgia,30005,Closed,No,June,Closed
37,373874,Comcast,2015-06-30,30-Jun-15,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,Solved,No,June,Closed
38,300824,"INTERNET , BILLING AND SERVIE ISSUES",2015-05-21,21-May-15,9:34:19 AM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,May,Open
39,348923,Comcast blocking DirecTv signals,2015-06-18,18-Jun-15,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,June,Open
40,302574,pmts,2015-05-21,21-May-15,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,Open,No,May,Open
41,343346,Slow Internet Speed,2015-06-16,16-Jun-15,1:45:58 PM,Internet,Amherst,New Hampshire,3031,Open,No,June,Open
42,286768,not getting what I am paying for with internet,2015-05-12,05-Dec-15,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,Solved,No,May,Closed
43,223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,2015-04-08,04-Aug-15,1:04:24 AM,Internet,Angels Camp,California,95222,Closed,No,April,Closed
44,235980,isp dishonest about speeds,2015-04-14,14-Apr-15,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,Closed,No,April,Closed
45,236469,Deceptive sales- change in billing amount etc.,2015-04-15,15-Apr-15,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,Closed,No,April,Closed
46,288602,Comcast Billing Dispute,2015-05-13,13-May-15,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,Closed,No,May,Closed
47,309379,Comcast,2015-05-27,27-May-15,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,Solved,No,May,Closed
48,351079,Comcast Billing and Service Issues,2015-06-19,19-Jun-15,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,Solved,No,June,Closed
49,366705,Cable prices rising,2015-06-25,25-Jun-15,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,Solved,No,June,Closed
50,368705,service issues,2015-06-26,26-Jun-15,3:56:18 PM,Internet,Annapolis,Maryland,21401,Solved,No,June,Closed
51,347369,HBO GO on Playstation 4,2015-06-17,17-Jun-15,8:41:23 PM,Internet,Annville,Pennsylvania,17003,Solved,No,June,Closed
52,291784,internet connectivity,2015-05-15,15-May-15,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,Solved,No,May,Closed
53,308478,Email issues,2015-05-26,26-May-15,9:45:02 PM,Customer Care Call,Antioch,California,94509,Solved,No,May,Closed
54,309851,Monopoly,2015-05-27,27-May-15,4:24:46 PM,Internet,Antioch,Tennessee,37013,Solved,No,May,Closed
55,367342,Complaint against Xfinity/Comcast,2015-06-26,26-Jun-15,2:38:50 AM,Internet,Aptos,California,95003,Closed,No,June,Closed
56,227209,Comcast credit after cancellation has not been received after more than a year,2015-04-09,04-Sep-15,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,Closed,No,April,Closed
57,266376,Comcast False Promises,2015-04-30,30-Apr-15,1:06:52 PM,Internet,Arlington,Virginia,22206,Closed,No,April,Closed
58,325273,Comcast Blocking UDP Port 443,2015-06-05,06-May-15,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Closed,Yes,June,Closed
59,342435,Issues with Comcast,2015-06-15,15-Jun-15,10:39:15 PM,Internet,Arlington,Virginia,22206,Solved,No,June,Closed
60,348514,Comcast Refuses to Schedule a Future Service Stoppage,2015-06-18,18-Jun-15,12:02:57 PM,Internet,Arlington,Virginia,22204,Solved,No,June,Closed
61,352100,Comcast,2015-06-19,19-Jun-15,2:36:57 PM,Internet,Arlington,Virginia,22206,Open,No,June,Open
62,355887,Overbilling,2015-06-22,22-Jun-15,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Solved,Yes,June,Closed
63,356118,"Comcast - failure to provide service, refusal to void contract",2015-06-22,22-Jun-15,2:41:05 PM,Customer Care Call,Arlington,Virginia,22206,Solved,No,June,Closed
64,363869,Spotty Comcast service,2015-06-25,25-Jun-15,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,Solved,No,June,Closed
65,369398,without service despite willingness to pay,2015-06-26,26-Jun-15,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,Open,No,June,Open
66,226231,Issues with Xfinity/Comcast,2015-04-09,04-Sep-15,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No,April,Closed
67,241880,Cable Modem rent for Internet access,2015-04-17,17-Apr-15,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,Closed,No,April,Closed
68,360187,Comcast/Xfinity,2015-06-23,23-Jun-15,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,Solved,No,June,Closed
69,223960,Speed issues,2015-04-08,04-Aug-15,12:53:45 PM,Internet,Ashland,Virginia,23005,Closed,No,April,Closed
70,355934,AT&T,2015-06-22,22-Jun-15,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,Solved,No,June,Closed
71,211976,Fraudulent claims reported to collections agency,2015-04-01,04-Jan-15,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,Closed,No,April,Closed
72,243998,Comcast using a Data Cap to take however much money they like,2015-04-19,19-Apr-15,10:49:13 PM,Internet,Atlanta,Georgia,30097,Closed,No,April,Closed
73,265755,Comcast Data Cap,2015-04-30,30-Apr-15,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,Closed,No,April,Closed
74,230907,Speed of service,2015-04-11,04-Nov-15,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,Closed,No,April,Closed
75,231273,Comcast's Monopolistic Practices and Data Capping,2015-04-12,04-Dec-15,3:22:03 PM,Internet,Atlanta,Georgia,30315,Closed,No,April,Closed
76,231292,"Comcast data cap ""trials""",2015-04-12,04-Dec-15,3:45:26 PM,Internet,Atlanta,Georgia,30316,Closed,No,April,Closed
77,231377,Comcast billing problem,2015-04-12,04-Dec-15,6:18:10 PM,Internet,Atlanta,Georgia,30308,Closed,No,April,Closed
78,252681,Comcast Needs Competition,2015-04-23,23-Apr-15,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,Closed,No,April,Closed
79,268101,Comcast services/billing issues,2015-05-01,05-Jan-15,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,Solved,No,May,Closed
80,269066,Incorrect Bill,2015-05-01,05-Jan-15,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,Solved,No,May,Closed
81,273420,Legality of data caps,2015-05-05,05-May-15,11:58:26 AM,Internet,Atlanta,Georgia,30315,Closed,No,May,Closed
82,278509,Data caps,2015-05-07,05-Jul-15,2:55:45 PM,Internet,Atlanta,Georgia,30363,Open,No,May,Open
83,279656,Comcast Added Service After I Declined It,2015-05-08,05-Aug-15,8:47:45 AM,Internet,Atlanta,Georgia,30345,Solved,No,May,Closed
84,288771,Comcast Misled With Overage Policy,2015-05-13,13-May-15,7:55:53 PM,Internet,Atlanta,Georgia,30317,Open,No,May,Open
85,293512,Cable service and telephone connect not complete,2015-05-16,16-May-15,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes,May,Closed
86,297104,Comcast data cap,2015-05-19,19-May-15,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,Solved,No,May,Closed
87,303412,Comcast Won't Cancel My Service,2015-05-22,22-May-15,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,May,Closed
88,304450,Data Caps,2015-05-23,23-May-15,12:05:55 AM,Internet,Atlanta,Georgia,30318,Open,No,May,Open
89,305137,Comcast disconnecting service before due date,2015-05-23,23-May-15,11:34:43 PM,Internet,Atlanta,Georgia,30324,Open,No,May,Open
90,305982,comcast data cap,2015-05-25,25-May-15,3:34:56 PM,Internet,Atlanta,Georgia,30309,Open,No,May,Open
91,307799,Comcast,2015-05-26,26-May-15,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,May,Closed
92,308171,Unbelievable Treatment,2015-05-26,26-May-15,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,Solved,No,May,Closed
93,312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,2015-05-28,28-May-15,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No,May,Closed
94,311725,Comcast's Terrible Service - How are they still in business?,2015-05-28,28-May-15,2:46:47 PM,Internet,Atlanta,Georgia,30309,Solved,No,May,Closed
95,313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,2015-05-29,29-May-15,3:56:01 PM,Internet,Atlanta,Georgia,30314,Solved,No,May,Closed
96,315173,Comcast discontinuation of service issue,2015-05-30,30-May-15,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,Open,No,May,Open
97,317945,Comcast customer service,2015-06-01,06-Jan-15,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,Closed,No,June,Closed
98,318301,Comcast,2015-06-02,06-Feb-15,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,Closed,No,June,Closed
99,322511,"Comcast bandwidth data caps in Atlanta, GA",2015-06-03,06-Mar-15,11:59:33 PM,Internet,Atlanta,Georgia,30341,Closed,Yes,June,Closed
100,322882,Comcast won't quit charging me for modem rental,2015-06-04,06-Apr-15,10:58:18 AM,Internet,Atlanta,Georgia,30317,Solved,No,June,Closed
101,323473,Comcast download caps,2015-06-04,06-Apr-15,2:18:03 PM,Internet,Atlanta,Georgia,30345,Solved,No,June,Closed
102,325596,Horrible Comcast Customer Service,2015-06-05,06-May-15,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No,June,Closed
103,327291,Data Cap,2015-06-07,06-Jul-15,10:01:52 AM,Internet,Atlanta,Georgia,30309,Solved,No,June,Closed
104,334035,Bad Customer Service,2015-06-10,06-Oct-15,10:24:00 PM,Internet,Atlanta,Georgia,30331,Solved,No,June,Closed
105,340637,disconnection of service,2015-06-15,15-Jun-15,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,Solved,No,June,Closed
106,341535,Comcast Data Usage Charges,2015-06-15,15-Jun-15,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,Open,No,June,Open
107,350016,Comcast refuses service to my address,2015-06-18,18-Jun-15,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,June,Closed
108,349567,Comcast will not let me discuss my bill or service with a representative,2015-06-18,18-Jun-15,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No,June,Closed
109,349716,Comcast billing frauds,2015-06-18,18-Jun-15,3:53:05 PM,Internet,Atlanta,Georgia,30328,Solved,No,June,Closed
110,354254,Comcast TV/Internet hookup,2015-06-20,20-Jun-15,7:16:33 PM,Internet,Atlanta,Georgia,30341,Solved,No,June,Closed
111,355121,no service for 5+ days,2015-06-22,22-Jun-15,9:05:33 AM,Internet,Atlanta,Georgia,30341,Solved,No,June,Closed
112,357856,Comcast - Billing,2015-06-23,23-Jun-15,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,Open,No,June,Open
113,359719,Comcast Internet,2015-06-23,23-Jun-15,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,Solved,No,June,Closed
114,359260,Comcast speed integrity,2015-06-23,23-Jun-15,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,Pending,No,June,Open
115,358601,Data cap,2015-06-23,23-Jun-15,2:21:23 PM,Internet,Atlanta,Georgia,30306,Pending,No,June,Open
116,362076,Comcast Atlanta Data Caps,2015-06-24,24-Jun-15,2:13:31 PM,Internet,Atlanta,Georgia,30306,Pending,No,June,Open
117,362097,Comcast Atlanta Data Caps,2015-06-24,24-Jun-15,2:18:32 PM,Internet,Atlanta,Georgia,30324,Pending,No,June,Open
118,363616,COMCAST Poor Customer Service,2015-06-24,24-Jun-15,10:28:58 PM,Internet,Atlanta,Georgia,30345,Open,No,June,Open
119,361720,Overage on 300GB data plan with Comcast,2015-06-24,24-Jun-15,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,Solved,No,June,Closed
120,362223,Comcast bill,2015-06-24,24-Jun-15,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,Solved,No,June,Closed
121,363102,Comcast Data Cap,2015-06-24,24-Jun-15,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,Pending,No,June,Open
122,363235,Unfair Billing Practices,2015-06-24,24-Jun-15,7:12:16 PM,Internet,Atlanta,Georgia,30307,Solved,No,June,Closed
123,363424,Comcast data caps,2015-06-24,24-Jun-15,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,Solved,No,June,Closed
124,365321,Comcast Refusing to Honor Internet Rate,2015-06-25,25-Jun-15,2:08:35 PM,Internet,Atlanta,Georgia,30324,Solved,No,June,Closed
125,363860,speed,2015-06-25,25-Jun-15,7:33:58 AM,Internet,Atlanta,Georgia,30316,Open,No,June,Open
126,368838,Not Acceptable Internet Additional Charge.,2015-06-26,26-Jun-15,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No,June,Closed
127,367718,Comcast internet and cable service,2015-06-26,26-Jun-15,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Open,Yes,June,Open
128,370846,"Comcast deceptive advertising, overage charges",2015-06-28,28-Jun-15,12:08:05 PM,Internet,Atlanta,Georgia,30329,Pending,No,June,Open
129,372331,Comcast Data Caps,2015-06-29,29-Jun-15,1:49:15 PM,Internet,Atlanta,Georgia,30324,Pending,Yes,June,Open
130,373205,Comcast: Xfinity Slamming,2015-06-29,29-Jun-15,5:41:37 PM,Internet,Atlanta,Georgia,30315,Closed,No,June,Closed
131,375377,Comcast Support Unable to Provide Accurate Information,2015-06-30,30-Jun-15,4:17:34 PM,Internet,Atlanta,Georgia,30328,Open,No,June,Open
132,373977,Comcast Data Usage Limits,2015-06-30,30-Jun-15,8:14:37 AM,Internet,Atlanta,Georgia,30342,Pending,No,June,Open
133,344456,Repeated Erroneous Modem Rental Charge,2015-06-16,16-Jun-15,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,Solved,No,June,Closed
134,374159,Xfinity pricing,2015-06-30,30-Jun-15,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No,June,Closed
135,359224,Comcast monopoly,2015-06-23,23-Jun-15,4:22:19 PM,Internet,Attalla,Alabama,35954,Solved,No,June,Closed
136,274956,Internet connection both upload and download speeds,2015-05-05,05-May-15,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,Open,No,May,Open
137,338651,Internet Availability,2015-06-13,13-Jun-15,1:07:20 AM,Internet,Attica,Michigan,48412,Open,No,June,Open
138,369453,"Comcast ""50 mb/s"" speed and throttling",2015-06-26,26-Jun-15,10:15:55 PM,Internet,Auburn,Georgia,30011,Pending,No,June,Open
139,221984,Complaint against Comcast,2015-04-07,04-Jul-15,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,Closed,No,April,Closed
140,346885,Comcast,2015-06-17,17-Jun-15,6:17:59 PM,Internet,Auburn,Washington,98092,Open,No,June,Open
141,359070,Comcast (Xfinity) Monopolistic Billing Practices,2015-06-23,23-Jun-15,3:49:46 PM,Internet,Auburn,Washington,98092,Closed,No,June,Closed
142,372769,Internet Throttling,2015-06-29,29-Jun-15,3:47:44 PM,Internet,Auburn,Washington,98092,Solved,No,June,Closed
143,311239,Data Usage Overage,2015-05-28,28-May-15,12:16:01 PM,Internet,Augusta,Georgia,30907,Solved,Yes,May,Closed
144,339371,double billing after change of service,2015-06-13,13-Jun-15,5:24:59 PM,Internet,Augusta,Georgia,30904,Solved,Yes,June,Closed
145,360222,Bandwidth Caps becoming excessive,2015-06-23,23-Jun-15,9:36:55 PM,Internet,Augusta,Georgia,30907,Solved,No,June,Closed
146,370518,Comcast data limits,2015-06-27,27-Jun-15,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Solved,Yes,June,Closed
147,335988,Unable to cancel xfinity home security,2015-06-11,06-Nov-15,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,Solved,No,June,Closed
148,361604,Comcast trying to setup stuff we didn't order,2015-06-24,24-Jun-15,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,Solved,No,June,Closed
149,369583,Terrible waiting times,2015-06-27,27-Jun-15,1:21:11 AM,Internet,Aurora,Colorado,80014,Solved,Yes,June,Closed
150,342399,Incorrect prices for new customers,2015-06-15,15-Jun-15,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,Open,No,June,Open
151,359858,Comcast is throttling my internet,2015-06-23,23-Jun-15,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,Pending,No,June,Open
152,363993,Internet Pricing,2015-06-25,25-Jun-15,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,Open,No,June,Open
153,223256,MISC. CHARGES,2015-04-08,04-Aug-15,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,Closed,No,April,Closed
154,375093,Comast data cap,2015-06-30,30-Jun-15,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,Pending,No,June,Open
155,347937,Comcast throttles internet,2015-06-18,18-Jun-15,9:15:45 AM,Customer Care Call,Austin,Texas,78731,Open,No,June,Open
156,360286,throttling,2015-06-23,23-Jun-15,10:07:17 PM,Internet,Avon,Colorado,81620,Pending,Yes,June,Open
157,279378,Forced Bundling of Internet Service with CATV,2015-05-07,05-Jul-15,9:16:13 PM,Customer Care Call,Ayer,Massachusetts,1432,Open,No,May,Open
158,301854,Comcast Internet,2015-05-21,21-May-15,4:31:00 PM,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes,May,Closed
159,306805,Failure to deliver service,2015-05-26,26-May-15,11:29:54 AM,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No,May,Closed
160,373653,Comcast HBO Go PS4 app,2015-06-29,29-Jun-15,8:40:56 PM,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No,June,Open
161,304583,Comcast's refusal to recognize written notice of termination of service,2015-05-23,23-May-15,10:37:56 AM,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No,May,Closed
162,324795,Rates,2015-06-05,06-May-15,9:59:39 AM,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No,June,Closed
163,348338,Termination Fee,2015-06-18,18-Jun-15,11:14:49 AM,Internet,Ballston Lake,New York,12019,Solved,No,June,Closed
164,241422,Comcast internet/cable,2015-04-17,17-Apr-15,1:21:20 PM,Internet,Baltimore,Maryland,21224,Closed,No,April,Closed
165,252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,2015-04-23,23-Apr-15,12:56:29 PM,Customer Care Call,Baltimore,Maryland,21207,Open,No,April,Open
166,259003,REPEATED Comcast billing issues,2015-04-27,27-Apr-15,1:35:21 PM,Customer Care Call,Baltimore,Maryland,21239,Closed,No,April,Closed
167,312881,unauthorized comcast username setup,2015-05-29,29-May-15,6:31:23 AM,Customer Care Call,Baltimore,Maryland,21206,Open,No,May,Open
168,319505,Services turned off in retaliation for complaints,2015-06-02,06-Feb-15,5:14:14 PM,Customer Care Call,Baltimore,Maryland,21218,Closed,No,June,Closed
169,342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,2015-06-16,16-Jun-15,11:17:13 AM,Customer Care Call,Baltimore,Maryland,21218,Open,No,June,Open
170,343096,Internet speeds disclosure on bill,2015-06-16,16-Jun-15,12:11:39 PM,Internet,Baltimore,Maryland,21218,Solved,No,June,Closed
171,343625,Internet speed not disclosed,2015-06-16,16-Jun-15,3:09:53 PM,Customer Care Call,Baltimore,Maryland,21237,Solved,No,June,Closed
172,348974,Intermittent Service,2015-06-18,18-Jun-15,2:04:40 PM,Customer Care Call,Baltimore,Maryland,21209,Solved,No,June,Closed
173,356080,Comcast billing practices,2015-06-22,22-Jun-15,2:31:19 PM,Internet,Baltimore,Maryland,21218,Solved,No,June,Closed
174,360196,monopoly,2015-06-23,23-Jun-15,9:28:56 PM,Internet,Baltimore,Maryland,21225,Solved,No,June,Closed
175,358485,Consistently Slow and Throttled Internet Speeds,2015-06-23,23-Jun-15,1:56:14 PM,Internet,Baltimore,Maryland,21217,Pending,No,June,Open
176,360378,Paying for high speed internet with Comcast. Consistently getting slow service.,2015-06-23,23-Jun-15,10:37:16 PM,Internet,Baltimore,Maryland,21202,Open,No,June,Open
177,357904,Comcast Monopoly on Packages is costing me more money for same service,2015-06-23,23-Jun-15,11:49:09 AM,Customer Care Call,Baltimore,Maryland,21212,Solved,No,June,Closed
178,361480,"hidden fees, dropped internet connection",2015-06-24,24-Jun-15,11:43:44 AM,Internet,Baltimore,Maryland,21224,Solved,Yes,June,Closed
179,364840,COMCAST HIGH SPEED INTERNET MONOPOLY,2015-06-25,25-Jun-15,12:58:48 PM,Internet,Baltimore,Maryland,21224,Solved,No,June,Closed
180,368793,ComCast cable In Maryland,2015-06-26,26-Jun-15,4:25:27 PM,Customer Care Call,Baltimore,Maryland,21222,Solved,No,June,Closed
181,370296,Billing Dispute & Poor Customer Service,2015-06-27,27-Jun-15,5:21:39 PM,Internet,Baltimore,Maryland,21239,Closed,No,June,Closed
182,373716,Comcast change contract,2015-06-29,29-Jun-15,9:27:12 PM,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes,June,Closed
183,360325,Comcast throttle,2015-06-23,23-Jun-15,10:16:47 PM,Customer Care Call,Bargersville,Indiana,46106,Pending,No,June,Open
184,249688,Xfinity WiFi access,2015-04-22,22-Apr-15,10:53:59 AM,Internet,Barnegat,New Jersey,8005,Closed,No,April,Closed
185,270364,"No internet, no cable",2015-05-02,05-Feb-15,9:14:09 PM,Customer Care Call,Barrington,Illinois,60010,Open,No,May,Open
186,256911,Internet service slow and intermittent,2015-04-25,25-Apr-15,1:09:19 PM,Customer Care Call,Bartlett,Tennessee,38133,Closed,No,April,Closed
187,332159,Comcast Account,2015-06-10,06-Oct-15,10:09:01 AM,Customer Care Call,Bartlett,Tennessee,38135,Solved,No,June,Closed
188,294386,Week long issues with speed and no help from comcast,2015-05-18,18-May-15,9:36:31 AM,Internet,Bartonville,Illinois,61607,Solved,No,May,Closed
